# code,annotations_organism,cog_taxid,no rank,superkingdom,phylum,class,order,family,genus,species,taxid,clade,strain,subspecies,species group,subphylum,suborder,subclass,isolate,subfamily,forma specialis,serotype,serogroup,tribe
Acimul,Acidiphilium multivorum AIU301,926570,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium multivorum,926570,,Acidiphilium multivorum AIU301,,,,,,,,,,,
Acisac,Acidilobus saccharovorans 345-15,666510,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus saccharovorans,666510,TACK group,Acidilobus saccharovorans 345-15,,,,,,,,,,,
Aciym1,Ilumatobacter coccineus YM16-304,1313172,cellular organisms,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter coccineus,1313172,Terrabacteria group,Ilumatobacter coccineus YM16-304,,,,,,,,,,,
Actfri,Actinoplanes friuliensis DSM 7358,1246995,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes friuliensis,1246995,Terrabacteria group,Actinoplanes friuliensis DSM 7358,,,,,,,,,,,
Actmir,Actinosynnema mirum DSM 43827,446462,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema mirum,446462,Terrabacteria group,Actinosynnema mirum DSM 43827,,,,,,,,,,,
Actsui,Actinobacillus suis H91-0380,696748,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus suis,696748,,Actinobacillus suis H91-0380,,,,,,,,,,,
Adlequ,Adlercreutzia equolifaciens DSM 19450,1384484,cellular organisms,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,1384484,Terrabacteria group,Adlercreutzia equolifaciens DSM 19450,,,,,,,,,,,
Advkas,Advenella kashmirensis WT001,1036672,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis,1036672,,Advenella kashmirensis WT001,,,,,,,,,,,
Aeqsub,Aequorivita sublithincola DSM 14238,746697,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita sublithincola,746697,Bacteroidetes/Chlorobi group,Aequorivita sublithincola DSM 14238,,,,,,,,,,,
Aerper,Aeropyrum pernix K1,272557,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix,272557,TACK group,Aeropyrum pernix K1,,,,,,,,,,,
Aersal,Aeromonas salmonicida subsp. salmonicida A449,382245,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,382245,,Aeromonas salmonicida subsp. salmonicida A449,Aeromonas salmonicida subsp. salmonicida,,,,,,,,,,
Aeruri,Aerococcus urinae ACS-120-V-Col10a,866775,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinae,866775,Terrabacteria group,Aerococcus urinae ACS-120-V-Col10a,,,,,,,,,,,
Aggact,Aggregatibacter actinomycetemcomitans D7S-1,694569,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,694569,,Aggregatibacter actinomycetemcomitans D7S-1,,,,,,,,,,,
Agrfab,Agrobacterium fabrum str. C58,176299,Rhizobium/Agrobacterium group,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium fabrum,176299,,Agrobacterium fabrum str. C58,,Agrobacterium tumefaciens complex,,,,,,,,,
Agroli,Bradyrhizobium oligotrophicum S58,1245469,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium oligotrophicum,1245469,,Bradyrhizobium oligotrophicum S58,,,,,,,,,,,
Akkmuc,Akkermansia muciniphila ATCC BAA-835,349741,cellular organisms,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,349741,PVC group,Akkermansia muciniphila ATCC BAA-835,,,,,,,,,,,
Alcbor,Alcanivorax borkumensis SK2,393595,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,393595,,Alcanivorax borkumensis SK2,,,,,,,,,,,
Aliaci,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1,1048834,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius,1048834,Terrabacteria group,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1,Alicyclobacillus acidocaldarius subsp. acidocaldarius,,,,,,,,,,
Aliden,Alicycliphilus denitrificans K601,596154,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,Alicycliphilus denitrificans,596154,,Alicycliphilus denitrificans K601,,,,,,,,,,,
Alifin,Alistipes finegoldii DSM 17242,679935,cellular organisms,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,679935,Bacteroidetes/Chlorobi group,Alistipes finegoldii DSM 17242,,,,,,,,,,,
Alisal,Aliivibrio salmonicida LFI1238,316275,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio salmonicida,316275,,Aliivibrio salmonicida LFI1238,,,,,,,,,,,
Alkehr,Alkalilimnicola ehrlichii MLHE-1,187272,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,Alkalilimnicola ehrlichii,187272,,Alkalilimnicola ehrlichii MLHE-1,,,,,,,,,,,
Alkmet,Alkaliphilus metalliredigens QYMF,293826,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Alkaliphilus metalliredigens,293826,Terrabacteria group,Alkaliphilus metalliredigens QYMF,,,,,,,,,,,
Allvin,Allochromatium vinosum DSM 180,572477,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium,Allochromatium vinosum,572477,,Allochromatium vinosum DSM 180,,,,,,,,,,,
Altsn2,Alteromonas naphthalenivorans,715451,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas naphthalenivorans,715451,,,,,,,,,,,,,
Amicol,Aminobacterium colombiense DSM 12261,572547,cellular organisms,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium,Aminobacterium colombiense,572547,,Aminobacterium colombiense DSM 12261,,,,,,,,,,,
Ammdeg,Ammonifex degensii KC4,429009,Moorella group,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,Ammonifex degensii,429009,Terrabacteria group,Ammonifex degensii KC4,,,,,,,,,,,
Amoasi,Candidatus Amoebophilus asiaticus 5a2,452471,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Candidatus Amoebophilus asiaticus,452471,Bacteroidetes/Chlorobi group,Candidatus Amoebophilus asiaticus 5a2,,,,,,,,,,,
Ampxyl,Amphibacillus xylanus NBRC 15112,698758,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus,Amphibacillus xylanus,698758,Terrabacteria group,Amphibacillus xylanus NBRC 15112,,,,,,,,,,,
Amymed,Amycolatopsis mediterranei S699,713604,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis mediterranei,713604,Terrabacteria group,Amycolatopsis mediterranei S699,,,,,,,,,,,
Amysub,Hoyosella subflava DQS3-9A1,443218,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Hoyosella,Hoyosella subflava,443218,Terrabacteria group,Hoyosella subflava DQS3-9A1,,,,,,,,,,,
Anacyl,Anabaena cylindrica PCC 7122,272123,cellular organisms,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena,Anabaena cylindrica,272123,Cyanobacteria/Melainabacteria group,Anabaena cylindrica PCC 7122,,,,,,,,,,,
Anadeh,Anaeromyxobacter dehalogenans 2CP-1,455488,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans,455488,,Anaeromyxobacter dehalogenans 2CP-1,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,
Anamob,Acetomicrobium mobile DSM 13181,891968,cellular organisms,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,Acetomicrobium mobile,891968,,Acetomicrobium mobile DSM 13181,,,,,,,,,,,
Anapha,Anaplasma phagocytophilum str. HZ,212042,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma phagocytophilum,212042,,Anaplasma phagocytophilum str. HZ,,phagocytophilum group,,,,,,,,,
Anapre,Anaerococcus prevotii DSM 20548,525919,cellular organisms,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus prevotii,525919,Terrabacteria group,Anaerococcus prevotii DSM 20548,,,,,,,,,,,
Anathe,Anaerolinea thermophila UNI-1,926569,cellular organisms,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anaerolinea thermophila,926569,Terrabacteria group,Anaerolinea thermophila UNI-1,,,,,,,,,,,
Anofla,Anoxybacillus flavithermus WK1,491915,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus,491915,Terrabacteria group,Anoxybacillus flavithermus WK1,,,,,,,,,,,
Aquaeo,Aquifex aeolicus VF5,224324,cellular organisms,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,Aquifex aeolicus,224324,,Aquifex aeolicus VF5,,,,,,,,,,,
Arcful,Archaeoglobus fulgidus DSM 4304,224325,cellular organisms,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,224325,,Archaeoglobus fulgidus DSM 4304,,,,,,,,,,,
Archae,Arcanobacterium haemolyticum DSM 20595,644284,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum,644284,Terrabacteria group,Arcanobacterium haemolyticum DSM 20595,,,,,,,,,,,
Arcnit,Arcobacter nitrofigilis DSM 7299,572480,Arcobacter group,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter nitrofigilis,572480,,Arcobacter nitrofigilis DSM 7299,,,delta/epsilon subdivisions,,,,,,,,
Arcsp_,Candidatus Methanomethylophilus alvus Mx1201,1236689,cellular organisms,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Candidatus Methanomethylophilaceae,Candidatus Methanomethylophilus,Candidatus Methanomethylophilus alvus,1236689,,Candidatus Methanomethylophilus alvus Mx1201,,,,,,,,,,,
Aroaro,Aromatoleum aromaticum EbN1,76114,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,Aromatoleum aromaticum,76114,,Aromatoleum aromaticum EbN1,,,,,,,,,,,
Artchl,Pseudarthrobacter chlorophenolicus A6,452863,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter chlorophenolicus,452863,Terrabacteria group,Pseudarthrobacter chlorophenolicus A6,,,,,,,,,,,
Artpla,Arthrospira platensis NIES-39,696747,cellular organisms,Bacteria,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Arthrospira,Arthrospira platensis,696747,Cyanobacteria/Melainabacteria group,Arthrospira platensis NIES-39,,,,,Oscillatoriophycideae,,,,,,
Artsfb,Candidatus Arthromitus sp. SFB-mouse-Japan,1029718,unclassified Candidatus Arthromitus,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus sp. SFB-mouse,1029718,Terrabacteria group,,,,,,,Candidatus Arthromitus sp. SFB-mouse-Japan,,,,,
Astexc,Asticcacaulis excentricus CB 48,573065,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis excentricus,573065,,Asticcacaulis excentricus CB 48,,,,,,,,,,,
Astyel,Aster yellows witches'-broom phytoplasma AYWB,322098,cellular organisms,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Aster yellows witches'-broom phytoplasma,322098,Terrabacteria group,Aster yellows witches'-broom phytoplasma AYWB,,Candidatus Phytoplasma asteris,,,,,,,,,
Atopar,Atopobium parvulum DSM 20469,521095,cellular organisms,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella parvula,521095,Terrabacteria group,Atopobium parvulum DSM 20469,,,,,,,,,,,
Azobra,Azospirillum brasilense Sp245,1064539,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum baldaniorum,1064539,,,,,,,,,,,,,
Azocau,Azorhizobium caulinodans ORS 571,438753,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans,438753,,Azorhizobium caulinodans ORS 571,,,,,,,,,,,
Azokh3,Azoarcus sp. KH32C,748247,unclassified Azoarcus,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,Azoarcus sp. KH32C,748247,,,,,,,,,,,,,
Azopse,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,511995,Bacteroidales incertae sedis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,Candidatus Azobacteroides,Candidatus Azobacteroides pseudotrichonymphae,511995,Bacteroidetes/Chlorobi group,,,,,,,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2,,,,,
Azovin,Azotobacter vinelandii DJ,322710,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii,322710,,Azotobacter vinelandii DJ,,,,,,,Azotobacter group,,,,
Bacant,Bacillus anthracis str. Ames,198094,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus anthracis,198094,Terrabacteria group,Bacillus anthracis str. Ames,,Bacillus cereus group,,,,,,,,,
Bachal,Bacillus halodurans C-125,272558,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus halodurans,272558,Terrabacteria group,Bacillus halodurans C-125,,,,,,,,,,,
Bacmar,Halobacteriovorax marinus SJ,862908,cellular organisms,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Halobacteriovorax marinus,862908,,Halobacteriovorax marinus SJ,,,,,,,,,,,
Bacsub,Bacillus subtilis subsp. subtilis str. 168,224308,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,224308,Terrabacteria group,Bacillus subtilis subsp. subtilis str. 168,Bacillus subtilis subsp. subtilis,Bacillus subtilis group,,,,,,,,,
Bacthe,Bacteroides thetaiotaomicron VPI-5482,226186,cellular organisms,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,226186,Bacteroidetes/Chlorobi group,Bacteroides thetaiotaomicron VPI-5482,,,,,,,,,,,
Bacthu,Bacillus thuringiensis serovar kurstaki str. HD73,1279365,Bacillus thuringiensis serovar kurstaki,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis,1279365,Terrabacteria group,Bacillus thuringiensis serovar kurstaki str. HD73,,Bacillus cereus group,,,,,,,,,
Barqui,Bartonella quintana str. Toulouse,283165,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella quintana,283165,,Bartonella quintana str. Toulouse,,,,,,,,,,,
Baucic,Baumannia cicadellinicola str. Hc (Homalodisca coagulata),374463,Gammaproteobacteria incertae sedis,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Candidatus Baumannia cicadellinicola,374463,Candidatus Baumannia,Baumannia cicadellinicola str. Hc (Homalodisca coagulata),,,,,,,,,,,
Bdebac,Bdellovibrio bacteriovorus HD100,264462,cellular organisms,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio bacteriovorus,264462,,Bdellovibrio bacteriovorus HD100,,,,,,,,,,,
Beiind,Beijerinckia indica subsp. indica ATCC 9039,395963,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Beijerinckia,Beijerinckia indica,395963,,Beijerinckia indica subsp. indica ATCC 9039,Beijerinckia indica subsp. indica,,,,,,,,,,
Belbal,Belliella baltica DSM 15883,866536,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Belliella,Belliella baltica,866536,Bacteroidetes/Chlorobi group,Belliella baltica DSM 15883,,,,,,,,,,,
Beucav,Beutenbergia cavernae DSM 12333,471853,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Beutenbergiaceae,Beutenbergia,Beutenbergia cavernae,471853,Terrabacteria group,Beutenbergia cavernae DSM 12333,,,,,,,,,,,
Bibtre,Bibersteinia trehalosi USDA-ARS-USMARC-192,1171377,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia,Bibersteinia trehalosi,1171377,,Bibersteinia trehalosi USDA-ARS-USMARC-192,,,,,,,,,,,
Biflon,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,391904,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,391904,Terrabacteria group,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,Bifidobacterium longum subsp. infantis,,,,,,,,,,
Blabla,Blattabacterium sp. (Blattella germanica) str. Bge,331104,unclassified Blattabacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium,Blattabacterium sp. (Blattella germanica),331104,Bacteroidetes/Chlorobi group,Blattabacterium sp. (Blattella germanica) str. Bge,,,,,,,,,,,
Blasax,Blastococcus saxobsidens DD2,1146883,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus saxobsidens,1146883,Terrabacteria group,Blastococcus saxobsidens DD2,,,,,,,,,,,
Blopen,Candidatus Blochmannia pennsylvanicus str. BPEN,291272,Enterobacteriaceae incertae sedis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Blochmannia,Candidatus Blochmannia pennsylvanicus,291272,ant endosymbionts,Candidatus Blochmannia pennsylvanicus str. BPEN,,,,,,,,,,,
Borcro,Borreliella burgdorferi B31,224326,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,224326,,Borreliella burgdorferi B31,,,,,,,,,,,
Borpet,Bordetella petrii,340100,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella petrii,340100,,Bordetella petrii DSM 12804,,,,,,,,,,,
Brafae,Brachybacterium faecium DSM 4810,446465,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium,446465,Terrabacteria group,Brachybacterium faecium DSM 4810,,,,,,,,,,,
Braint,Brachyspira intermedia PWS/A,1045858,cellular organisms,Bacteria,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira intermedia,1045858,,Brachyspira intermedia PWS/A,,,,,,,,,,,
Brajap,Bradyrhizobium japonicum USDA 6,1037409,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,1037409,,Bradyrhizobium japonicum USDA 6,,,,,,,,,,,
Brebre,Brevibacillus brevis NBRC 100599,358681,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus brevis,358681,Terrabacteria group,Brevibacillus brevis NBRC 100599,,,,,,,,,,,
Bresub,Brevundimonas subvibrioides ATCC 15264,633149,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas subvibrioides,633149,,Brevundimonas subvibrioides ATCC 15264,,,,,,,,,,,
Brumel,Brucella melitensis bv. 1 str. 16M,224914,Brucella melitensis bv. 1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella melitensis,224914,,Brucella melitensis bv. 1 str. 16M,,,,,,,,,,,
